"49A49 734\n"
"74QT5 852\n"
"J25J4 76\n"
"5Q588 853\n"
"74T24 1\n"
"A7853 16\n"
"4T53T 646\n"
"9KT7Q 511\n"
"376A7 781\n"
"66496 944\n"
"6J737 839\n"
"767J6 386\n"
"62A65 963\n"
"8A8A3 246\n"
"255TT 429\n"
"58J8A 341\n"
"37828 279\n"
"T3598 30\n"
"68JK8 109\n"
"89247 883\n"
"QJ557 510\n"
"TA899 656\n"
"6K6KJ 714\n"
"3667J 102\n"
"JAAAT 821\n"
"38JAK 748\n"
"778A7 411\n"
"K93JK 463\n"
"A85T2 80\n"
"8T39A 495\n"
"3JT3T 203\n"
"K9K5K 721\n"
"9J9J9 679\n"
"4Q5Q4 101\n"
"37333 745\n"
"999QQ 943\n"
"84484 25\n"
"28268 469\n"
"33TAA 99\n"
"KAJKJ 924\n"
"T4JJ3 185\n"
"6777K 725\n"
"33J9K 846\n"
"J7577 899\n"
"48K45 575\n"
"TK852 104\n"
"97737 161\n"
"65552 738\n"
"33TTT 915\n"
"2AJ47 644\n"
"288Q2 870\n"
"85599 159\n"
"997AQ 552\n"
"J6879 117\n"
"6TJ96 820\n"
"45K62 674\n"
"9ATAT 537\n"
"9K7Q2 211\n"
"KKKAK 620\n"
"7TT6T 837\n"
"TT444 865\n"
"5K8KK 195\n"
"KK6K6 170\n"
"J2888 744\n"
"8A228 40\n"
"TT9K9 334\n"
"5998Q 992\n"
"KJ964 760\n"
"KKK98 460\n"
"8J444 917\n"
"TK9A8 485\n"
"T8KK5 216\n"
"6TA6Q 871\n"
"TA39K 461\n"
"J9QK5 292\n"
"2222T 751\n"
"697KT 524\n"
"5565J 484\n"
"T6T3T 241\n"
"696A6 542\n"
"5QQ53 531\n"
"75555 639\n"
"299J2 219\n"
"A5552 882\n"
"33AAJ 224\n"
"49494 455\n"
"KJ635 532\n"
"92QJ8 397\n"
"J3333 990\n"
"58955 739\n"
"89888 822\n"
"93233 521\n"
"J6444 599\n"
"95TT5 351\n"
"T3333 62\n"
"385K9 217\n"
"35AKJ 682\n"
"53222 889\n"
"TT35T 591\n"
"87QJ7 196\n"
"45226 261\n"
"65K7A 717\n"
"99J6K 137\n"
"77757 73\n"
"88J97 800\n"
"J6335 142\n"
"3A3K3 231\n"
"75Q5Q 311\n"
"3J265 574\n"
"26AKK 474\n"
"QJ699 307\n"
"AKKAA 737\n"
"KA5TK 600\n"
"J3Q33 830\n"
"7Q7Q7 953\n"
"82888 888\n"
"KKK22 554\n"
"55Q99 354\n"
"52522 868\n"
"9586T 844\n"
"A7T95 465\n"
"J5TQ9 660\n"
"K6352 487\n"
"32A95 925\n"
"275Q9 84\n"
"555AA 964\n"
"7Q247 11\n"
"Q3A44 53\n"
"JJ548 272\n"
"J8673 103\n"
"22229 317\n"
"3K566 505\n"
"99AA9 826\n"
"2468T 910\n"
"44QQQ 605\n"
"QJQ77 932\n"
"25229 614\n"
"666QQ 994\n"
"99777 568\n"
"6622J 945\n"
"AK48T 243\n"
"QQ676 922\n"
"TKKA8 715\n"
"78788 225\n"
"AA7AT 240\n"
"7TK6Q 886\n"
"QQ877 308\n"
"55559 220\n"
"7K5QT 978\n"
"7543T 206\n"
"2K522 149\n"
"229AA 975\n"
"J5955 667\n"
"A8298 95\n"
"4T493 189\n"
"632A3 199\n"
"3K43J 181\n"
"6T52Q 657\n"
"J58JJ 19\n"
"29KTA 173\n"
"K33J6 662\n"
"Q266J 633\n"
"74K44 128\n"
"TT996 563\n"
"QJ886 280\n"
"4Q82Q 287\n"
"85535 601\n"
"JT88A 810\n"
"95355 797\n"
"22J22 121\n"
"4TTT4 665\n"
"Q8888 496\n"
"89A8A 47\n"
"52885 10\n"
"AT6J3 454\n"
"9Q66Q 17\n"
"A8AA2 651\n"
"47774 299\n"
"QT788 939\n"
"TQQQQ 724\n"
"QAT94 132\n"
"5KK6K 68\n"
"T4322 628\n"
"K6666 174\n"
"88J88 194\n"
"43AAA 914\n"
"T882J 338\n"
"6QT66 171\n"
"48Q88 1000\n"
"TKTTJ 502\n"
"AA372 763\n"
"JKKJJ 60\n"
"23232 694\n"
"A355J 430\n"
"36J68 148\n"
"57QQQ 277\n"
"9JT9T 577\n"
"TQJQT 434\n"
"93334 792\n"
"65J75 761\n"
"98894 24\n"
"33833 775\n"
"J5Q2K 322\n"
"56T58 476\n"
"529K6 236\n"
"K5KJ5 296\n"
"35JQ9 951\n"
"JT6T2 545\n"
"63328 960\n"
"484A6 716\n"
"J3T99 622\n"
"47J8K 162\n"
"574A9 442\n"
"5JA96 702\n"
"868A9 947\n"
"56JQK 424\n"
"TT5AA 36\n"
"K2K22 125\n"
"AQA4A 470\n"
"252J2 814\n"
"TTTT2 490\n"
"22J62 428\n"
"7733T 160\n"
"QT3KA 200\n"
"9A972 208\n"
"JA46J 798\n"
"A4QJ6 45\n"
"9J488 557\n"
"JAAAJ 188\n"
"3Q5JJ 350\n"
"24K24 22\n"
"Q88K8 369\n"
"A2AA2 131\n"
"TK659 824\n"
"48726 782\n"
"3939J 573\n"
"4Q372 525\n"
"A23J7 705\n"
"83A5K 807\n"
"5J522 462\n"
"J935A 431\n"
"99933 252\n"
"97Q6T 803\n"
"33J3K 293\n"
"65662 909\n"
"66538 896\n"
"4J4JK 404\n"
"76TAK 617\n"
"99979 394\n"
"Q3JT5 823\n"
"A3K38 606\n"
"2K2J3 179\n"
"97AA9 530\n"
"6J6QQ 8\n"
"5J2T2 949\n"
"A44A5 145\n"
"39A2T 523\n"
"6665Q 700\n"
"23288 693\n"
"65336 183\n"
"T64T8 897\n"
"K76K6 48\n"
"2JTT2 146\n"
"K94J8 769\n"
"AA8AA 556\n"
"5Q775 586\n"
"5TQ8Q 143\n"
"AJA8A 529\n"
"A3629 153\n"
"4Q69T 52\n"
"53T9T 414\n"
"QJ424 114\n"
"J595K 276\n"
"63622 116\n"
"99599 295\n"
"94J9J 916\n"
"42822 304\n"
"5T45Q 318\n"
"T999T 878\n"
"777J7 669\n"
"79T77 581\n"
"TTAAA 921\n"
"A3333 736\n"
"KJ54K 88\n"
"K363K 618\n"
"7T837 303\n"
"8833T 43\n"
"2976A 227\n"
"TTTT5 441\n"
"J66T4 928\n"
"TT5A8 138\n"
"8TQJ3 641\n"
"29JT5 204\n"
"K3T65 113\n"
"J9855 284\n"
"3KA22 835\n"
"6J644 836\n"
"3K695 801\n"
"58855 74\n"
"Q6579 126\n"
"64QK7 191\n"
"ATATQ 895\n"
"9KK97 560\n"
"32Q23 298\n"
"J98J3 336\n"
"333TT 593\n"
"33QQQ 438\n"
"244Q2 446\n"
"QJAAA 902\n"
"88887 777\n"
"Q8838 752\n"
"86668 984\n"
"924QK 288\n"
"KJKJK 186\n"
"T22JJ 500\n"
"J65KA 764\n"
"4K559 993\n"
"44646 327\n"
"Q444Q 598\n"
"JAA3J 741\n"
"J4J49 976\n"
"5J6T5 778\n"
"TTATT 908\n"
"AA9T9 481\n"
"38696 320\n"
"T444A 594\n"
"K33KT 376\n"
"66955 127\n"
"KAKJT 709\n"
"JT8A6 184\n"
"JJ8JJ 330\n"
"7AAKA 684\n"
"33233 373\n"
"8T8K8 576\n"
"8TQ27 4\n"
"552K5 182\n"
"5692J 21\n"
"TTQJT 912\n"
"6QA66 840\n"
"TT3TT 546\n"
"6K4Q8 849\n"
"T779T 631\n"
"K93K9 232\n"
"6A4TA 254\n"
"2K5A3 154\n"
"2QQ22 491\n"
"AAKK2 680\n"
"63326 302\n"
"TT7KQ 378\n"
"7J477 105\n"
"QJQ4J 862\n"
"J4596 867\n"
"22335 743\n"
"74329 221\n"
"Q8333 758\n"
"699J6 285\n"
"8QAJJ 497\n"
"8QT67 711\n"
"KAAAA 92\n"
"K96T8 548\n"
"8TT9T 508\n"
"T977J 516\n"
"27272 313\n"
"AKKK8 389\n"
"879A6 18\n"
"55K33 383\n"
"38484 339\n"
"A9299 437\n"
"833A3 290\n"
"77JJ4 433\n"
"7JAJ2 856\n"
"QK45J 540\n"
"Q96T2 699\n"
"88884 212\n"
"K6778 205\n"
"QA4TA 192\n"
"QA86Q 872\n"
"22T7T 972\n"
"23272 415\n"
"42J42 558\n"
"Q72Q7 242\n"
"8A45T 948\n"
"4JJ4J 177\n"
"J4Q9A 323\n"
"KA3KQ 937\n"
"AA847 655\n"
"AQJQQ 61\n"
"36T6K 294\n"
"63673 766\n"
"7QTT8 300\n"
"8KQ86 346\n"
"QQJK7 321\n"
"A32AA 549\n"
"44KK4 357\n"
"55454 547\n"
"33666 260\n"
"AAQQQ 436\n"
"J55K5 264\n"
"3KJQ3 685\n"
"99K99 269\n"
"9J9QJ 677\n"
"J8844 854\n"
"2567Q 176\n"
"AAAJ5 689\n"
"T4T9T 831\n"
"36874 356\n"
"TTTJT 122\n"
"33993 609\n"
"4JK3T 920\n"
"79772 65\n"
"55225 942\n"
"K228K 898\n"
"3K2QA 274\n"
"QTAQQ 718\n"
"6JJJ9 506\n"
"83869 645\n"
"A8T24 475\n"
"A3647 625\n"
"99353 158\n"
"5566T 652\n"
"5J454 726\n"
"A6AT6 71\n"
"42JJ9 286\n"
"88JQ8 344\n"
"AAQJK 477\n"
"J6266 876\n"
"4T499 750\n"
"76853 986\n"
"4QKKT 603\n"
"84K3K 629\n"
"AA636 250\n"
"3T263 756\n"
"T8227 885\n"
"9J533 28\n"
"26446 613\n"
"AAAJA 841\n"
"7AA2A 305\n"
"QQJQQ 503\n"
"QT33T 509\n"
"3TT22 379\n"
"88844 78\n"
"629KJ 416\n"
"74J44 813\n"
"QA79K 526\n"
"2T6T5 522\n"
"K2TQA 774\n"
"85AQJ 283\n"
"TJ6AQ 735\n"
"335J2 450\n"
"K4944 222\n"
"K54K7 348\n"
"KKKTK 673\n"
"7K797 407\n"
"JKKAK 561\n"
"TJT77 663\n"
"JJ777 265\n"
"6QJQ3 873\n"
"2QTK5 456\n"
"2Q4A9 198\n"
"5J7Q6 270\n"
"86A67 675\n"
"J4444 534\n"
"55K3T 152\n"
"277KJ 55\n"
"8QQ2J 838\n"
"A75QA 234\n"
"848JJ 553\n"
"JJ28J 314\n"
"7698Q 583\n"
"ATTTA 851\n"
"Q88QQ 353\n"
"89A34 955\n"
"Q82K5 691\n"
"T4A8J 858\n"
"852J7 253\n"
"39JQ8 319\n"
"2Q7QQ 828\n"
"QQ4KQ 848\n"
"35KQT 233\n"
"4AAAA 952\n"
"K289K 695\n"
"49T88 541\n"
"6QJ44 544\n"
"K4KAK 408\n"
"75882 435\n"
"9K99K 515\n"
"3TK3J 608\n"
"94222 564\n"
"A9K44 666\n"
"3722T 391\n"
"8J88J 742\n"
"Q2KQK 950\n"
"J999Q 493\n"
"85K88 331\n"
"J4AAA 935\n"
"AJTAT 144\n"
"796J9 776\n"
"42444 788\n"
"52K9K 980\n"
"9QQ97 597\n"
"KQQQQ 793\n"
"K8267 884\n"
"8Q594 90\n"
"8J829 860\n"
"3KT64 245\n"
"6JTQ6 85\n"
"AJ28T 349\n"
"995TT 733\n"
"33444 659\n"
"5J333 927\n"
"32JA6 335\n"
"38Q65 619\n"
"96966 626\n"
"55JJ5 815\n"
"3664T 940\n"
"AAAK6 362\n"
"62573 772\n"
"TAAA9 588\n"
"A9K63 34\n"
"4753Q 209\n"
"59595 913\n"
"57755 42\n"
"2J922 315\n"
"A6834 273\n"
"QAQ8Q 239\n"
"3K6QQ 94\n"
"A55J5 729\n"
"66776 89\n"
"AT525 479\n"
"66663 616\n"
"A4A5A 207\n"
"88TQT 551\n"
"87Q5T 749\n"
"77KKK 291\n"
"T3T44 855\n"
"5927A 621\n"
"A28T6 187\n"
"QT7Q9 135\n"
"77J79 786\n"
"8JT88 571\n"
"82J28 13\n"
"333J6 519\n"
"67229 790\n"
"T577T 390\n"
"62226 762\n"
"T8888 713\n"
"7JQJQ 877\n"
"532AA 384\n"
"5A5AJ 533\n"
"66JA6 381\n"
"36KK9 457\n"
"43343 755\n"
"67767 35\n"
"96AJ3 398\n"
"JJA95 380\n"
"2QQ8Q 569\n"
"69AK9 567\n"
"9KK9T 654\n"
"84244 958\n"
"KTJKK 32\n"
"K87Q5 180\n"
"T9A26 262\n"
"Q555Q 787\n"
"48J6Q 67\n"
"K4KKK 638\n"
"TAAAA 686\n"
"33335 962\n"
"88886 696\n"
"2334Q 439\n"
"7T78K 364\n"
"73377 54\n"
"8Q744 998\n"
"52Q49 707\n"
"J3J5J 370\n"
"K2KJ2 482\n"
"T6JK5 969\n"
"53J5J 371\n"
"QQQA2 983\n"
"8Q886 93\n"
"63888 818\n"
"TQQQK 746\n"
"7285A 578\n"
"66656 123\n"
"Q9AQQ 809\n"
"47AA7 730\n"
"479Q2 731\n"
"55335 869\n"
"3K3QK 166\n"
"6K257 228\n"
"2JQ64 139\n"
"26J4K 624\n"
"55Q55 866\n"
"KQ937 697\n"
"TJ783 39\n"
"72T5K 247\n"
"444K4 432\n"
"J2783 723\n"
"T68T6 817\n"
"TT5T9 420\n"
"T9432 426\n"
"6AAK5 903\n"
"33732 630\n"
"QA4A4 683\n"
"6JJ6A 115\n"
"KJK3T 698\n"
"88783 520\n"
"2A8AT 847\n"
"3A83A 449\n"
"4Q4J9 324\n"
"TQTQQ 938\n"
"693QA 218\n"
"398A8 310\n"
"94Q68 129\n"
"9J899 535\n"
"75A55 562\n"
"5KKKK 56\n"
"TA376 480\n"
"JJ5J5 565\n"
"6J7KJ 770\n"
"86667 892\n"
"6686J 14\n"
"89889 780\n"
"65555 585\n"
"QQQJJ 688\n"
"88JJ2 492\n"
"33238 812\n"
"7862T 753\n"
"J22J2 587\n"
"73747 973\n"
"K3JQA 2\n"
"K3K9K 150\n"
"6A8JA 9\n"
"T5K8A 670\n"
"5K33T 555\n"
"K2266 528\n"
"JAK59 784\n"
"8AQ74 213\n"
"6QA9T 570\n"
"27873 69\n"
"27TQT 507\n"
"8K3QA 75\n"
"6T252 226\n"
"T4432 46\n"
"JQQ6Q 779\n"
"KKAQK 443\n"
"96869 83\n"
"3JQ3A 326\n"
"Q222K 875\n"
"A3954 244\n"
"333JJ 406\n"
"22AQQ 959\n"
"55585 754\n"
"JT938 981\n"
"555J5 418\n"
"TJJT9 773\n"
"J826A 863\n"
"3828J 316\n"
"5A8JJ 7\n"
"47K83 536\n"
"K5J9K 325\n"
"T4Q59 382\n"
"KKK7K 402\n"
"75758 297\n"
"74484 829\n"
"7T47T 278\n"
"K744Q 237\n"
"T8T5J 147\n"
"55228 880\n"
"J57J2 172\n"
"57549 592\n"
"76276 422\n"
"936JQ 483\n"
"QQ5QJ 255\n"
"A7T78 783\n"
"5TT58 971\n"
"JJJJJ 86\n"
"55QQQ 692\n"
"T728T 701\n"
"KTTKT 372\n"
"TT7TT 282\n"
"Q5982 604\n"
"KK8KK 514\n"
"8KKTK 448\n"
"6K8J7 118\n"
"499J9 87\n"
"22828 140\n"
"58JJ8 789\n"
"66637 58\n"
"44445 919\n"
"JKJ63 890\n"
"A463A 918\n"
"393J8 827\n"
"44434 37\n"
"999T7 999\n"
"966J7 802\n"
"43962 51\n"
"K5J45 719\n"
"87KK5 757\n"
"2K337 977\n"
"582J9 627\n"
"69639 355\n"
"97KJ6 610\n"
"J2223 704\n"
"6A4T5 165\n"
"7AJA7 767\n"
"646K4 706\n"
"QQ2QJ 72\n"
"T3JK8 301\n"
"6T3AK 661\n"
"7K8T5 970\n"
"JJ33J 396\n"
"49446 412\n"
"AA77A 649\n"
"66A86 64\n"
"QQAQQ 120\n"
"8AA8A 968\n"
"57QJ2 579\n"
"KK99K 930\n"
"94499 864\n"
"7K7Q7 275\n"
"88A88 210\n"
"37837 458\n"
"A447A 931\n"
"AAA66 643\n"
"66667 887\n"
"733A8 819\n"
"3792Q 602\n"
"J4532 41\n"
"6869Q 611\n"
"KJQKQ 894\n"
"AJQ87 38\n"
"39A74 941\n"
"282JJ 345\n"
"88Q73 251\n"
"77595 256\n"
"22777 124\n"
"94299 358\n"
"TTTT4 489\n"
"QQJ44 825\n"
"58K24 466\n"
"92AA9 111\n"
"6368T 27\n"
"8JT75 405\n"
"876K3 607\n"
"2A8Q7 361\n"
"9QAK5 923\n"
"J666J 312\n"
"A9Q74 155\n"
"32242 202\n"
"999A5 559\n"
"77772 427\n"
"2QJJQ 333\n"
"Q222T 157\n"
"3QQQJ 366\n"
"J6225 401\n"
"33334 440\n"
"443K6 268\n"
"25Q73 352\n"
"56565 879\n"
"84TAQ 387\n"
"79777 861\n"
"666AT 811\n"
"7A97A 235\n"
"2K6KJ 859\n"
"9J993 281\n"
"Q8TK9 808\n"
"56429 98\n"
"3JJT6 77\n"
"22383 905\n"
"5A683 907\n"
"8KJKK 267\n"
"33T38 168\n"
"5865K 615\n"
"6QQQ3 399\n"
"5AQ82 340\n"
"QK7QK 720\n"
"74474 347\n"
"J5693 589\n"
"JAAQ9 623\n"
"22267 417\n"
"8T88Q 29\n"
"J2422 527\n"
"6A5AA 110\n"
"23J33 612\n"
"2Q997 289\n"
"5T564 967\n"
"KQ52Q 214\n"
"9J53T 175\n"
"6TT76 982\n"
"44QKQ 201\n"
"32633 911\n"
"KAAJK 634\n"
"75J57 49\n"
"66668 901\n"
"6QJK6 494\n"
"J9K66 12\n"
"JKK6K 5\n"
"J3869 82\n"
"QQ7QQ 740\n"
"KKK46 934\n"
"56646 367\n"
"Q5433 486\n"
"88636 954\n"
"J8277 100\n"
"K5566 343\n"
"666A6 190\n"
"KKJKK 375\n"
"3J322 259\n"
"3K9J4 360\n"
"888A6 584\n"
"66865 708\n"
"T2JQ2 722\n"
"JJ393 632\n"
"77TT7 834\n"
"22Q82 57\n"
"97AJA 785\n"
"QQ9QQ 501\n"
"6AA6K 580\n"
"53353 956\n"
"J8JKQ 6\n"
"QAA7T 671\n"
"A3T5K 891\n"
"4QKJJ 795\n"
"5T333 91\n"
"887A8 997\n"
"5K57J 796\n"
"AQ763 595\n"
"QT777 995\n"
"29J45 996\n"
"76262 130\n"
"696K9 961\n"
"6A65K 197\n"
"34838 512\n"
"4299K 193\n"
"K3J37 985\n"
"9922A 881\n"
"5TT8T 134\n"
"44Q45 504\n"
"438K8 133\n"
"JA788 459\n"
"KKAAK 900\n"
"44222 445\n"
"8TJTK 468\n"
"6664K 337\n"
"28JK3 850\n"
"TJ44J 832\n"
"57932 957\n"
"T2AJ4 409\n"
"TA596 635\n"
"87839 23\n"
"A2722 248\n"
"K7777 543\n"
"638T9 966\n"
"55A32 471\n"
"69JJ3 893\n"
"253KK 676\n"
"Q8Q3T 63\n"
"J4K7K 712\n"
"9999A 20\n"
"868KK 257\n"
"27354 266\n"
"75K75 687\n"
"AAAAQ 400\n"
"5252Q 169\n"
"2TT62 517\n"
"34J4J 974\n"
"TAQ99 112\n"
"58J6T 452\n"
"82T58 392\n"
"65J62 732\n"
"5T445 263\n"
"AKATA 640\n"
"QJT55 329\n"
"T4449 342\n"
"A567A 647\n"
"A2T36 833\n"
"J742T 799\n"
"KA64T 395\n"
"Q4257 989\n"
"99993 223\n"
"TJTT9 425\n"
"8KAKQ 648\n"
"2J4K5 842\n"
"43J34 151\n"
"9Q949 636\n"
"KK4K4 229\n"
"7757T 385\n"
"4J774 421\n"
"9QKAQ 79\n"
"469TA 965\n"
"K63J9 164\n"
"3AT43 874\n"
"4JKQ6 664\n"
"373Q3 791\n"
"KK66Q 377\n"
"77JQ7 596\n"
"8JAA8 658\n"
"TJT3T 447\n"
"A5555 119\n"
"8486J 768\n"
"58289 904\n"
"9T999 642\n"
"44JK4 472\n"
"A752Q 672\n"
"36TA8 906\n"
"84824 403\n";
