"seeds: 1044452533 40389941 3710737290 407166728 1552449232 639689359 3327654041 26912583 3440484265 219136668 1126550158 296212400 2332393052 229950158 200575068 532702401 4163696272 44707860 3067657312 45353528 \n"
"\n"
"seed-to-soil map:\n"
"3807776623 3220207966 248700485\n"
"347509555 54427824 90447546\n"
"0 2336205674 208134837\n"
"3722035899 3726277139 85740724\n"
"2002156199 1341605129 169698758\n"
"4056477108 3563548228 162728911\n"
"208134837 1511303887 139374718\n"
"2513642263 1710884259 75746477\n"
"2702859896 3468908451 18878500\n"
"3427708852 3812017863 252593884\n"
"1283473656 1786630736 377205707\n"
"2736208594 2641064681 461144709\n"
"2238047311 784537754 190087938\n"
"1720046261 974625692 167476460\n"
"1672649034 2544340511 47397227\n"
"4219206019 3487786951 75761277\n"
"1887522721 1650678605 60205654\n"
"3680302736 3178474803 41733163\n"
"510500649 1208294506 133310623\n"
"437957101 2263662126 72543548\n"
"2721738396 3102209390 14470198\n"
"2171854957 1142102152 66192354\n"
"\n"
"light-to-temperature map:\n"
"523464332 2485592576 7655734\n"
"1306479498 3401177698 44583163\n"
"72682795 2493248310 40062854\n"
"1351062661 10924544 136936144\n"
"1950759356 374811960 103408928\n"
"1628354042 1079719374 5733623\n"
"4278168745 4150271912 16798551\n"
"1634087665 867706665 116014557\n"
"112745649 147860688 85469942\n"
"1487998805 1432016565 15767141\n"
"46512214 3323202074 26170581\n"
"198215591 1822839586 82352133\n"
"1503765946 1905191719 124588096\n"
"2320905962 233330630 141481330\n"
"34455944 855650395 12056270\n"
"945527000 2533311164 65423823\n"
"1010950823 1238767929 68991034\n"
"2089724509 1085452997 153314932\n"
"4150271912 4228943070 66024226\n"
"2923124195 1307758963 124257602\n"
"3063630615 2029779815 155675415\n"
"2243039441 3263624618 59076159\n"
"0 2185455230 23531400\n"
"1079941857 1447783706 219106104\n"
"4216296138 4167070463 7178707\n"
"3219306030 2208986630 276605946\n"
"3814380111 3322700777 501297\n"
"23531400 0 10924544\n"
"280567724 2598734987 242896608\n"
"3501210985 2841631595 313169126\n"
"2462387292 478220888 358639145\n"
"2054168284 3349372655 35556225\n"
"1750102222 1666889810 91833237\n"
"1299047961 3451860467 7431537\n"
"3047381797 3384928880 16248818\n"
"3495911976 1758723047 5299009\n"
"2827126043 983721222 95998152\n"
"4223474845 4174249170 54693900\n"
"2302115600 836860033 18790362\n"
"2821026437 3445760861 6099606\n"
"531120066 3459292004 355589404\n"
"1841935459 3154800721 108823897\n"
"886709470 1764022056 58817530\n"
"\n"
"temperature-to-humidity map:\n"
"2018290756 3339896462 24416138\n"
"2758197106 1920240630 127305443\n"
"1435979012 3212189099 87605129\n"
"1769136092 2998937118 64911939\n"
"3618781885 4020815132 64754456\n"
"2463559257 2553699148 87957011\n"
"3338671715 2945268602 53668516\n"
"1346451950 4085569588 31754584\n"
"2333003205 2227115482 79041240\n"
"3021969750 3172189648 39999451\n"
"3240436817 2192137296 17307942\n"
"1418308768 2209445238 17670244\n"
"357589270 447365191 170229577\n"
"2551516268 2811272034 55795229\n"
"2412044445 3120674836 51514812\n"
"2155360081 4117324172 177643124\n"
"3888375100 1524919566 145384982\n"
"550058871 314116828 30128840\n"
"2885502549 2867067263 78201339\n"
"2963703888 2344871065 24585358\n"
"4157684401 1782957735 137282895\n"
"4033760082 3736328042 120993236\n"
"3257744759 2142598135 45143696\n"
"3392340231 3063849057 56825779\n"
"2042706894 1670304548 112653187\n"
"1523584141 3515198209 20686539\n"
"341412066 830731292 16177204\n"
"580187711 723815388 106915904\n"
"3883979635 2187741831 4395465\n"
"1378206534 3299794228 40102234\n"
"764927838 617594768 20034273\n"
"3449166010 2641656159 169615875\n"
"1544270680 3857321278 163493854\n"
"2988289246 2108917631 33680504\n"
"687103615 645991165 77824223\n"
"1707764534 2047546073 61371558\n"
"527818847 344245668 22240024\n"
"4154753318 2341939982 2931083\n"
"793324235 393780930 53584261\n"
"1834048031 2369456423 184242725\n"
"314116828 366485692 27295238\n"
"784962111 637629041 8362124\n"
"2607311497 3364312600 150885609\n"
"3683536341 3535884748 200443294\n"
"3061969201 1346451950 178467616\n"
"3302888455 2306156722 35783260\n"
"\n"
"humidity-to-location map:\n"
"2289569155 2295914330 132474891\n"
"3336845004 3857582618 604013\n"
"137201536 465156883 67111840\n"
"0 54072971 10834440\n"
"2613787395 3979038278 315929018\n"
"2929716413 2499280923 31840158\n"
"2492935748 3858186631 120851647\n"
"3337449017 2531121081 957518279\n"
"1119175103 926319928 393815858\n"
"220477639 0 54072971\n"
"2975037529 1934106855 18186723\n"
"2422044046 2428389221 70891702\n"
"1934106855 3488639360 355462300\n"
"867655257 658635819 251519846\n"
"467405785 64907411 400249472\n"
"204313376 910155665 16164263\n"
"274550610 1320135786 192855175\n"
"10834440 532268723 126367096\n"
"2993224252 1952293578 343620752\n"
"2961556571 3844101660 13480958\n";
